id,i,we,you,shehe,they,ipron,PastM,PresentM,FutureM,ProgM,family,friend,humans,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,see,hear,feel,body,health,sexual,ingest,label
29979,0.002944063,0,0.001962709,0.001962709,0,0.021589794,0.00686948,0.010794897,0.007850834,0.024533857,0.000981354,0.000981354,0.003925417,0.008832188,0.016683023,0.033366045,0.029440628,0.035328754,0.023552502,0.00686948,0.011776251,0.034347399,0.047105005,0.002944063,0.000981354,0,0.057899902,0.053974485,0,0.010794897,0
25797852,0.002840909,0,0.001420455,0.001420455,0,0.009943182,0,0.004261364,0.008522727,0.015625,0,0,0,0.005681818,0.012784091,0.044034091,0.014204545,0.014204545,0.007102273,0.004261364,0.011363636,0.025568182,0.007102273,0.004261364,0.004261364,0.002840909,0.005681818,0.004261364,0,0,1
25714348,0.00567721,0,0,0.00162206,0,0.02270884,0.00324412,0.01054339,0.00648824,0.0081103,0,0,0.01459854,0.00567721,0.0243309,0.04541768,0.0162206,0.02838605,0.01540957,0.00648824,0.02270884,0.02514193,0.02595296,0.00729927,0.00486618,0.00162206,0.00405515,0,0.00081103,0,1
32173,0,0.024390244,0.024390244,0,0,0.048780488,0,0,0,0.024390244,0,0,0.048780488,0,0.024390244,0,0,0.024390244,0,0.024390244,0,0.048780488,0.024390244,0.024390244,0.024390244,0,0,0,0,0,0
24443672,0,0.001886792,0.000943396,0,0.001886792,0.013207547,0,0.003773585,0.012264151,0.00754717,0.004716981,0,0.002830189,0.011320755,0.002830189,0.013207547,0.016037736,0.009433962,0.013207547,0.012264151,0.005660377,0.040566038,0.009433962,0.000943396,0.002830189,0.000943396,0.001886792,0,0,0,1
23358680,0.001156738,0.003470214,0,0.001156738,0,0.010410642,0.001156738,0.010989011,0.002891845,0.01156738,0.001156738,0,0.009832273,0.019664546,0.010410642,0.032967033,0.012145749,0.026604974,0.01156738,0.022556391,0.035858878,0.037015616,0.020242915,0.004048583,0.001156738,0.044534413,0,0.001156738,0.000578369,0.001156738,1
24064378,0.001872659,0,0,0,0,0.009363296,0.005617978,0.001872659,0.018726592,0.014981273,0,0,0,0.007490637,0.016853933,0.039325843,0.018726592,0.011235955,0.003745318,0.009363296,0.014981273,0.048689139,0.007490637,0,0,0.001872659,0.001872659,0,0,0,1
25836685,0.007285974,0.001821494,0.007285974,0.017304189,0.010928962,0.011839709,0.003642987,0.010928962,0.014571949,0.012750455,0.003642987,0,0.008196721,0.014571949,0.015482696,0.02276867,0.010928962,0.012750455,0.013661202,0.009107468,0.006375228,0.026411658,0.011839709,0.010928962,0.011839709,0.006375228,0.029143898,0.035519126,0.001821494,0.007285974,1
26001179,0.004237288,0.004237288,0.011299435,0,0,0.008474576,0.009887006,0,0.009887006,0.002824859,0.004237288,0.001412429,0.005649718,0.025423729,0.005649718,0.015536723,0.007062147,0.019774011,0.015536723,0.011299435,0.009887006,0.049435028,0.005649718,0.007062147,0,0.002824859,0.005649718,0.001412429,0,0.011299435,1
47809,0.024960998,0.009360374,0.03276131,0.003120125,0.001560062,0.028081123,0.003120125,0.009360374,0.009360374,0.021840874,0.003120125,0,0.015600624,0.017160686,0.010920437,0.040561622,0.020280811,0.026521061,0.023400936,0.014040562,0.010920437,0.057722309,0.034321373,0.007800312,0.012480499,0.00624025,0.012480499,0.015600624,0,0.018720749,0
