index,id,功能词,代名詞,特定人稱代名詞,第一人稱單數代名詞,第一人稱複數代名詞,第二人稱代名詞,第三人稱單數代名詞,第三人稱複數代名詞,非特定人稱代名詞,動詞,助動詞,副詞,介係詞,連接詞,否定詞,概數詞,數字,髒話,第二人稱複數代名詞,後置詞,特指定詞,量詞,語助詞,多用途詞,時態標定詞,過去時態標定詞,現在時態標定詞,未來時態標定詞,延續時態標定詞,社會歷程詞,家族詞,朋友詞,人類詞,情感歷程詞,正向情緒詞,負向情緒詞,焦慮詞,生氣詞,悲傷詞,認知歷程詞,洞察詞,因果詞,差距詞,暫訂詞,確切詞,限制詞,包含詞,排除詞,感知歷程詞,視覺詞,聽覺詞,感覺詞,生理歷程詞,身體詞,健康詞,性詞,攝食詞,相對詞,移動詞,空間詞,時間詞,工作詞,成就詞,休閒詞,家庭詞,金錢詞,宗教詞,死亡詞,應和詞,停頓贅詞,填充贅詞,label
4076,59303,0.083333333,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0,0,0,0,0,0.083333333,0,0.083333333,0,0.083333333,0,0.083333333,0,0,0,0,0,0,0,0
2290,41257,0.382352941,0,0,0,0,0,0,0,0,0.117647059,0.029411765,0.029411765,0.058823529,0,0,0.029411765,0.029411765,0,0,0.058823529,0.058823529,0.029411765,0.117647059,0.147058824,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0.176470588,0.058823529,0,0.029411765,0,0.029411765,0,0.058823529,0.029411765,0.147058824,0,0,0.147058824,0,0,0,0,0,0.117647059,0.088235294,0.117647059,0.029411765,0,0.029411765,0,0,0,0,0,0.029411765,0,0,0
333,23954237,0.385333333,0.026,0.006,0,0.002666667,0.000666667,0.000666667,0.002,0.02,0.102,0.020666667,0.072666667,0.072666667,0.048,0.009333333,0.020666667,0.01,0,0,0.021333333,0.004,0.048666667,0.068,0.072666667,0.038,0.005333333,0.016666667,0.003333333,0.012666667,0.018666667,0,0,0.002666667,0.027333333,0.008,0.01,0.006,0.002,0.000666667,0.184,0.032,0.018,0.023333333,0.027333333,0.02,0.019333333,0.046666667,0.014666667,0.012666667,0.004666667,0.006666667,0.001333333,0.014666667,0.014,0.000666667,0,0,0.132,0.021333333,0.062666667,0.044,0.032,0.02,0.001333333,0.000666667,0.04,0.000666667,0.002666667,0.036,0.000666667,0.004,1
627,37167,0.461538462,0.102564103,0.051282051,0.017094017,0,0.025641026,0.008547009,0,0.051282051,0.213675214,0.051282051,0.085470085,0.094017094,0.051282051,0.017094017,0.025641026,0.008547009,0,0,0.017094017,0.008547009,0.017094017,0.051282051,0.05982906,0.034188034,0,0,0.008547009,0.025641026,0.111111111,0.008547009,0,0.042735043,0.076923077,0.017094017,0.051282051,0,0,0,0.256410256,0.034188034,0.025641026,0.042735043,0.025641026,0.034188034,0.025641026,0.051282051,0.051282051,0.05982906,0.025641026,0.008547009,0.025641026,0.051282051,0.042735043,0.017094017,0,0,0.076923077,0.042735043,0.017094017,0.025641026,0.008547009,0.008547009,0,0,0,0,0.017094017,0.034188034,0,0.017094017,0
2088,335085,0.390243902,0.048780488,0.012195122,0,0.012195122,0,0,0,0.036585366,0.085365854,0.024390244,0.097560976,0.048780488,0.024390244,0.024390244,0.06097561,0,0,0,0.024390244,0.012195122,0.036585366,0.048780488,0.06097561,0.036585366,0,0.024390244,0.012195122,0,0.06097561,0,0,0.036585366,0.024390244,0.024390244,0,0,0,0,0.195121951,0.048780488,0.024390244,0.012195122,0.024390244,0.024390244,0,0.036585366,0.024390244,0.036585366,0.036585366,0,0,0.036585366,0,0.012195122,0,0.024390244,0.109756098,0,0.048780488,0.036585366,0.024390244,0,0.024390244,0.024390244,0,0,0,0.024390244,0,0,0
3360,288345,0.320945946,0.019144144,0.006756757,0.002252252,0.001126126,0.001126126,0.002252252,0,0.012387387,0.091216216,0.027027027,0.050675676,0.057432432,0.029279279,0.005630631,0.019144144,0.016891892,0.001126126,0,0.027027027,0.015765766,0.037162162,0.064189189,0.07545045,0.03490991,0.003378378,0.009009009,0.010135135,0.012387387,0.016891892,0.002252252,0,0.009009009,0.033783784,0.011261261,0.010135135,0.001126126,0.003378378,0,0.157657658,0.01463964,0.016891892,0.030405405,0.015765766,0.013513514,0.015765766,0.047297297,0.013513514,0.028153153,0.007882883,0.002252252,0.012387387,0.105855856,0.021396396,0.039414414,0.001126126,0.050675676,0.111486486,0.023648649,0.051801802,0.040540541,0.005630631,0.01463964,0.010135135,0.001126126,0.003378378,0.002252252,0.001126126,0.039414414,0,0.002252252,0
2741,300608,0.359526037,0.024321796,0.011225444,0.001559089,0.006236358,0.002494543,0,0.000935454,0.013096352,0.122544434,0.027128157,0.061428126,0.051138135,0.049579046,0.006859994,0.03118179,0.011537262,0.000311818,0,0.02525725,0.004989086,0.027439975,0.071094481,0.091050826,0.020891799,0.002494543,0.010289991,0.004677268,0.003118179,0.02369816,0.000623636,0,0.008419083,0.046460867,0.011225444,0.030246336,0.001247272,0.002806361,0.002494543,0.174929841,0.014967259,0.028999065,0.030558154,0.017461802,0.008107265,0.015902713,0.044901777,0.028063611,0.076083567,0.006548176,0.001247272,0.031493608,0.110071718,0.027751793,0.039289055,0.000623636,0.048643592,0.113189897,0.018397256,0.056127222,0.03554724,0.008107265,0.015590895,0.012784534,0.001870907,0.000935454,0.001870907,0.001247272,0.032429061,0.000935454,0.009354537,0
475,24661921,0.393258427,0.02247191,0,0,0,0,0,0,0.02247191,0.06741573,0.02247191,0.011235955,0.033707865,0.011235955,0,0.033707865,0.04494382,0,0,0.04494382,0.033707865,0.04494382,0.101123596,0.06741573,0.08988764,0.011235955,0,0.02247191,0.056179775,0.02247191,0,0,0,0.04494382,0.02247191,0.02247191,0,0,0.011235955,0.157303371,0.056179775,0.011235955,0.02247191,0.02247191,0.011235955,0,0.02247191,0,0.056179775,0.02247191,0,0,0.011235955,0,0,0.011235955,0,0.213483146,0.06741573,0.078651685,0.08988764,0.04494382,0.02247191,0,0.011235955,0.02247191,0,0,0.078651685,0,0,1
481,24683621,0.366847826,0.029891304,0.02173913,0.002717391,0.005434783,0.010869565,0,0.002717391,0.008152174,0.067934783,0.019021739,0.043478261,0.032608696,0.010869565,0,0.02173913,0.043478261,0,0,0.029891304,0.027173913,0.081521739,0.059782609,0.054347826,0.027173913,0,0.005434783,0.013586957,0.008152174,0.04076087,0,0,0,0.057065217,0.046195652,0,0,0,0,0.144021739,0.029891304,0.008152174,0.016304348,0.024456522,0.016304348,0.008152174,0.032608696,0.005434783,0.013586957,0.005434783,0,0.008152174,0.002717391,0,0.002717391,0,0.002717391,0.14673913,0.04076087,0.0625,0.059782609,0.100543478,0.065217391,0.019021739,0.002717391,0.032608696,0,0,0.035326087,0,0,1
3575,51650,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
