id,pronoun,TenseM,social,affect,cogmech,percept,bio,label
488896,0.047619048,0,0,0.095238095,0,0.047619048,0.047619048,0
24505520,0.011754069,0.018987342,0.018083183,0.021699819,0.129294756,0.012658228,0.001808318,1
244996,0.023255814,0.013565891,0.034883721,0.062015504,0.176356589,0.007751938,0.015503876,0
25864744,0.049295775,0.042253521,0.056338028,0.070422535,0.169014085,0.021126761,0.028169014,1
241166,0.044877223,0.036409822,0.061812024,0.039796782,0.187129551,0.019475021,0.032176122,0
338812,0.058441558,0.012987013,0.051948052,0.077922078,0.136363636,0.019480519,0.116883117,0
338934,0.027210884,0.039115646,0.035714286,0.057823129,0.18707483,0.011904762,0.086734694,0
25157501,0.119700748,0.061512884,0.113050707,0.04322527,0.23358271,0.028262677,0.004987531,1
141987,0.043103448,0.075862069,0.031034483,0.024137931,0.160344828,0.031034483,0.09137931,0
65711,0.04,0,0.04,0.14,0.02,0.02,0,0
55172,0.044827586,0.036206897,0.035344828,0.030172414,0.194827586,0.059482759,0.05862069,0
323106,0.052631579,0.03907496,0.06539075,0.043859649,0.216905901,0.019936204,0.139553429,0
26516256,0.009433962,0.034591195,0.028301887,0.034591195,0.106918239,0.006289308,0.012578616,1
11512,0.01,0.03,0,0.06,0.08,0.03,0.02,0
25188,0.051878354,0.035778175,0.060822898,0.044722719,0.191413238,0.012522361,0.075134168,0
59177,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
311118,0.065088757,0.017751479,0.112426036,0.106508876,0.159763314,0.059171598,0.00591716,0
130524,0.018087855,0.018087855,0.010335917,0.056847545,0.245478036,0.012919897,0.121447028,0
323738,0.075144509,0.067196532,0.044797688,0.031069364,0.251445087,0.019508671,0.060693642,0
23341471,0.025096525,0.05984556,0.069498069,0.027027027,0.137065637,0.017374517,0.001930502,1
9861,0.039215686,0.039215686,0.058823529,0.098039216,0.235294118,0.019607843,0.039215686,0
24849505,0.034161491,0.02173913,0.031055901,0.059006211,0.177018634,0.052795031,0.105590062,1
343325,0.039881832,0.035450517,0.0605613,0.05465288,0.199409158,0.008862629,0.036927622,0
19895,0.05061082,0.033158813,0.059336824,0.015706806,0.15008726,0.02443281,0.04886562,0
59278,0.083333333,0,0.083333333,0,0.25,0,0,0
525814,0.047219307,0.019937041,0.079748164,0.0409234,0.174186779,0.034627492,0.070304302,0
42251,0.023171615,0.036205648,0.042722665,0.039826213,0.139029689,0.021723389,0.032585083,0
26270226,0.008474576,0.009533898,0.0625,0.018008475,0.149364407,0.001059322,0.002118644,1
183663,0.059164733,0.029389018,0.054137664,0.049110596,0.241686002,0.020108275,0.116782676,0
334653,0.073421439,0.052863436,0.080763583,0.041116006,0.160058737,0.03671072,0.066079295,0
57932,0.0358473,0.037709497,0.037709497,0.044227188,0.174581006,0.009310987,0.020018622,0
20761,0.090909091,0,0.090909091,0.090909091,0.090909091,0.181818182,0,0
315800,0,0,0,0.125,0,0.125,0,0
23923779,0.011222323,0.012132241,0.01910828,0.01910828,0.061874431,0.023961177,0.023051259,1
257456,0.017282479,0.032181168,0.022646007,0.052443385,0.183551847,0.020262217,0.07568534,0
30721,0.053685168,0.026842584,0.055959964,0.075068244,0.218835305,0.016833485,0.097361237,0
292637,0.032549729,0.037974684,0.054249548,0.059674503,0.206148282,0.012658228,0.047016275,0
3268,0.020689655,0.020689655,0.043678161,0.059770115,0.172413793,0.013793103,0.071264368,0
39433,0.052631579,0,0.035087719,0.035087719,0.122807018,0.052631579,0.01754386,0
47334,0.036755387,0.040557668,0.051964512,0.041825095,0.231939163,0.022813688,0.096324461,0
59236,0.010028653,0.018624642,0.010028653,0.03008596,0.197707736,0.032951289,0.050143266,0
352276,0,0,0,0.285714286,0,0.285714286,0.142857143,0
24717376,0.086717892,0.040614709,0.083973655,0.055982437,0.239297475,0.017563117,0.007135016,1
13051,0.166666667,0,0.111111111,0.111111111,0.277777778,0.055555556,0.055555556,0
18088,0.075471698,0.037735849,0.094339623,0.056603774,0.20754717,0.037735849,0.075471698,0
22941,0.055639098,0.019548872,0.043609023,0.033082707,0.153383459,0.043609023,0.028571429,0
359733,0.03861518,0.023968043,0.017310253,0.065246338,0.201065246,0.025299601,0.117177097,0
23959,0.029050279,0.025698324,0.039106145,0.044692737,0.189944134,0.015642458,0.073184358,0
28212,0.032770606,0.025819265,0.0367428,0.042701092,0.184707051,0.01489573,0.079443893,0
58000,0.082191781,0.020547945,0.061643836,0.020547945,0.075342466,0.006849315,0,0
25246,0.023633678,0.014771049,0.029542097,0.05760709,0.144756278,0.051698671,0.141802068,0
58102,0.014925373,0.014925373,0.104477612,0.089552239,0.149253731,0.029850746,0.044776119,0
254808,0.034265104,0.03336339,0.032461677,0.066726781,0.134355275,0.017132552,0.139765555,0
49265,0.030384272,0.029490617,0.031277927,0.035746202,0.166219839,0.033065237,0.075960679,0
327102,0.023893805,0.023893805,0.030973451,0.053097345,0.184955752,0.022123894,0.127433628,0
363306,0.0625,0.03125,0.078125,0.09375,0.15625,0.0625,0.015625,0
29228,0.048327138,0.04708798,0.032218092,0.032218092,0.197026022,0.024783147,0.038413879,0
277822,0.103186646,0.042488619,0.107738998,0.050075873,0.220030349,0.042488619,0.04552352,0
31959,0.1,0,0.4,0.1,0.1,0,0.1,0
163426,0.125,0,0.125,0,0,0,0,0
368949,0.025399812,0.032925682,0.022577611,0.055503293,0.200376294,0.030103481,0.081843838,0
44795,0.043205575,0.034843206,0.027874564,0.043205575,0.159581882,0.032752613,0.079442509,0
